id,palabra,edad_de_adquisicion_m,edad_de_adquisicion_sd,categoria_palabra
1,"al",4.26,2.456,4
2,"as",8.32,2.394,2
3,"be",3.96,2.740,2
4,"ce",4.58,2.872,2
5,"da",3.28,1.990,1
6,"de",4.16,2.972,4
7,"di",4.56,2.269,1
8,"el",3.18,1.734,4
9,"él",2.96,1.749,4
10,"en",3.92,2.266,4
11,"es",3.18,1.699,1
12,"et",6.88,1.814,2
13,"ex",8.48,2.073,2
14,"fe",7.38,2.320,2
15,"ge",4.60,3.201,2
16,"ha",5.98,2.403,1
17,"he",6.37,2.316,1
18,"in",8.20,2.070,2
19,"ir",4.20,1.938,1
20,"la",3.14,1.948,4
21,"le",4.76,2.479,4
22,"lo",4.24,2.818,4
23,"me",3.42,2.295,4
24,"mi",3.12,2.173,4
25,"mí",3.38,2.108,4
26,"ni",5.02,1.985,4
27,"no",1.86,1.050,4
28,"os",6.60,2.680,4
29,"pa",2.02,1.545,2
30,"pe",3.51,2.501,2
31,"se",4.72,2.408,4
32,"sé",4.70,2.234,1
33,"si",1.64,0.921,4
34,"sí",1.98,1.317,4
35,"su",4.20,2.129,4
36,"te",4.12,2.125,4
37,"té",6.56,2.500,2
38,"tu",2.96,1.873,4
39,"un",3.00,2.050,4
40,"va",3.88,1.955,1
41,"ve",4.62,2.423,1
42,"vi",3.94,2.410,1
43,"wc",7.40,3.110,4
44,"ya",3.36,2.354,4
45,"yo",2.54,1.929,4
46,"acá",5.84,2.951,4
47,"ahí",3.14,2.100,4
48,"ajo",4.82,1.837,2
49,"amo",6.70,2.720,1
50,"ana",3.76,1.559,2
51,"ano",8.50,1.972,2
52,"año",3.50,2.003,2
53,"aro",4.86,1.938,2
54,"asa",7.08,2.156,2
55,"así",4.80,2.304,4
56,"ave",5.02,1.857,2
57,"bar",4.52,2.063,2
58,"boa",8.60,2.241,2
59,"bus",6.14,2.399,2
60,"cae",4.08,2.039,1
61,"can",8.48,2.636,2
62,"col",6.10,2.350,2
63,"con",3.78,2.427,4
64,"dan",4.88,1.902,1
65,"dar",3.00,1.829,1
66,"das",3.88,1.803,1
67,"del",4.68,2.217,4
68,"den",5.22,2.582,1
