id,palabra,word,alegria_m,alegria_sd,ira_m,ira_sd,tristeza_m,tristeza_sd,miedo_m,miedo_sd,asco_m,asco_sd,categoria_palabradecimal
1,"abandonado","derelict",1.03,0.18,2.83,1.46,4.30,0.84,3.33,1.52,1.77,1.19,1
2,"abanico","fan",2.67,1.32,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1
3,"abeja","bee",1.47,0.86,1.97,1.16,1.47,0.97,3.53,1.36,2.07,1.20,1
4,"abejas","bees",1.37,0.76,2.00,1.20,1.17,0.46,3.47,1.14,2.20,1.37,1
5,"abejorro","bumblebee",1.14,0.58,1.59,1.09,1.14,0.44,3.48,1.35,2.10,1.47,1
6,"abnegación","abnegation",1.44,0.89,1.69,1.01,2.00,1.10,1.94,1.24,1.31,0.60,1
7,"abogada","lawyer",1.57,0.94,1.93,1.23,1.37,0.89,2.03,1.22,1.50,0.94,1
8,"abogado","lawyer",1.83,1.05,1.73,1.01,1.40,0.77,1.60,0.89,1.53,0.78,1
9,"aborto","abortion",1.67,1.06,1.87,1.11,3.50,1.50,2.90,1.56,1.70,1.21,1
10,"abrasador","scorching",1.37,0.76,1.77,1.25,1.53,0.94,2.17,1.15,1.50,1.01,1
11,"abrigo","coat",2.50,1.17,1.03,0.18,1.53,0.86,1.07,0.25,1.13,0.43,1
12,"abrumado","overwhelmed",1.50,0.97,2.27,1.41,2.67,1.45,2.50,1.25,1.27,0.78,1
13,"abstinente","abstinent",1.48,0.75,1.67,1.14,1.89,1.19,1.70,1.14,1.48,1.12,3
14,"absurdo","absurd",1.63,1.07,2.17,1.34,1.83,1.09,1.57,0.90,1.23,0.57,1
15,"abuela","grandmother",4.33,0.96,1.13,0.43,2.30,1.32,1.67,1.21,1.10,0.55,1
16,"abuelo","grandfather",4.60,0.72,1.07,0.25,2.60,1.43,1.20,0.48,1.10,0.55,1
17,"abundancia","abundance",3.67,1.12,1.20,0.48,1.37,0.76,1.73,1.08,1.20,0.55,1
18,"aburrido","bored",1.03,0.18,1.40,0.77,2.90,1.49,1.17,0.53,1.33,0.88,3
19,"accidente","accident",1.03,0.18,3.13,1.17,4.17,0.87,3.83,1.21,1.80,1.00,1
20,"acción","action",2.80,1.13,1.73,1.01,1.57,0.97,2.27,1.11,1.40,0.72,1
21,"acelerador","accelerator",1.90,1.16,1.37,0.72,1.23,0.50,1.90,0.92,1.07,0.25,1
22,"acento","accent",2.67,1.54,1.47,0.86,1.27,0.64,1.27,0.64,1.27,0.64,1
23,"acidez","acidity",1.17,0.59,1.63,1.03,1.57,0.82,1.53,0.82,2.77,1.14,1
24,"ácido","sour",1.17,0.53,1.83,1.23,1.63,1.07,2.47,1.48,2.20,1.24,1
25,"acierto","success",4.07,0.94,1.10,0.40,1.03,0.18,1.17,0.59,1.03,0.18,1
26,"acogedor","cozy",4.07,0.94,1.10,0.40,1.20,0.55,1.13,0.43,1.10,0.40,1
27,"acontecimiento","event",2.50,1.04,1.37,0.72,1.57,0.90,1.63,0.81,1.20,0.61,1
28,"acoso","harassment",1.13,0.51,3.90,1.30,3.70,1.47,3.93,1.34,4.07,1.08,1
29,"acre","pungent",1.00,0.00,1.25,0.62,1.25,0.45,1.17,0.58,1.42,1.00,1
30,"activar","activate",2.53,1.17,1.33,0.61,1.13,0.35,1.40,0.77,1.10,0.31,1
31,"acto","event",2.03,1.16,1.27,0.69,1.17,0.46,1.43,0.82,1.13,0.51,1
32,"actriz","actress",2.53,1.14,1.23,0.68,1.37,0.72,1.10,0.40,1.27,0.69,1
33,"acuerdo","agreement",3.30,1.06,1.10,0.31,1.00,0.00,1.47,0.73,1.10,0.31,1
34,"acurrucarse","snuggle",3.90,1.30,1.07,0.25,1.83,1.18,1.60,1.22,1.07,0.25,2
35,"ademán","gesture",1.45,0.96,1.68,1.04,1.36,0.79,2.00,1.20,1.36,0.73,1
36,"adicción","addiction",1.10,0.31,2.50,1.41,3.23,1.17,3.57,1.43,2.90,1.32,1
37,"adicto","addict",1.30,0.60,2.33,1.30,3.60,1.22,2.97,1.35,2.23,1.50,1
38,"adinerado","wealthy",3.00,1.23,1.87,1.25,1.40,0.77,1.40,0.77,1.73,1.08,3
39,"adiós","bye-bye",1.33,0.71,2.33,1.30,4.17,0.91,3.67,1.35,1.43,0.94,1
40,"admiración","admiration",3.67,1.12,1.30,0.79,1.37,0.72,1.43,0.73,1.20,0.61,1
41,"admirado","admired",3.77,0.97,1.23,0.57,1.30,0.75,1.57,0.86,1.27,0.52,1
42,"adolescente","teenager",2.83,1.23,1.83,1.18,1.97,1.10,1.70,1.06,1.40,0.72,1
43,"adopción","adoption",3.53,1.38,1.17,0.46,1.77,1.01,1.77,0.77,1.03,0.18,1
44,"adorable","adorable",4.43,0.68,1.03,0.18,1.03,0.18,1.03,0.18,1.03,0.18,1
45,"adoración","worship",2.97,1.33,1.60,1.10,1.50,0.90,1.60,0.97,1.43,0.86,1
46,"adulto","adult",2.11,1.20,1.57,1.00,1.89,1.29,2.04,1.23,1.36,0.83,1
47,"adversario","adversary",2.03,1.22,2.50,1.38,1.77,1.10,2.63,1.13,1.90,1.06,1
48,"aeropuerto","airport",3.27,0.98,1.13,0.35,2.20,1.37,1.70,0.95,1.17,0.38,1
49,"afectar","impair",1.33,0.71,1.57,0.97,3.00,1.08,2.20,1.32,1.10,0.40,2
50,"afecto","affection",4.37,0.81,1.20,0.61,1.50,0.94,1.43,0.94,1.03,0.18,1
51,"afianzar","secure",1.90,1.35,1.17,0.47,1.31,0.66,1.52,1.02,1.14,0.58,2
52,"afligido","distressed",1.10,0.41,1.97,1.02,4.10,0.94,2.55,1.30,1.48,0.87,1
53,"afortunado","lucky",4.10,0.99,1.33,0.80,1.13,0.43,1.07,0.25,1.07,0.25,1
54,"agente","agent",1.43,0.73,1.87,1.14,1.37,0.72,2.07,1.11,1.77,1.25,1
55,"agilidad","agility",3.07,1.20,1.10,0.40,1.13,0.57,1.13,0.43,1.03,0.18,1
56,"agobiado","burdened",1.07,0.25,2.77,1.19,2.57,1.36,2.30,1.32,1.57,1.01,1
