id,palabra,tiempo_tdl,tiempo_naming,edad_de_adquisicion_m,categoria_palabra
1,"abad",599,501.15,6.32,1
2,"abandonar",545,501.06,3.44,2
3,"abarcar",581,504.00,4.88,1
4,"abeja",516,474.55,2.24,1
5,"aberración",647,567.37,6.42,1
6,"abertura",555,519.02,4.48,1
7,"abismo",595,506.48,5.04,1
8,"abrigo",528,475.31,1.46,1
9,"abril",515,458.69,2.48,1
10,"abrir",491,472.43,2.04,2
11,"absorber",583,525.46,4.52,1
12,"abuelo",482,500.19,1.58,1
13,"abundancia",634,547.62,4.52,1
14,"academia",569,521.75,4.72,1
15,"académico",556,551.52,4.84,1
16,"acariciar",567,527.49,2.32,1
17,"acarrear",600,532.59,5.68,2
18,"acceder",555,526.96,5.12,1
19,"acceso",556,488.70,5.20,1
20,"accidente",568,514.75,3.60,1
21,"acción",510,451.90,4.00,1
22,"aceite",517,483.91,3.60,1
23,"acelerar",545,547.04,4.28,1
24,"acento",557,485.06,3.92,1
25,"acentuar",583,524.35,4.68,1
26,"acepción",578,556.25,6.17,1
27,"acequia",623,574.24,6.08,1
28,"acera",526,483.75,2.81,1
29,"acero",538,475.00,4.20,1
30,"acertar",559,505.92,2.64,2
31,"ácido",552,483.21,4.16,1
32,"acomodar",579,528.68,4.56,1
33,"acordeón",587,558.00,3.65,1
34,"actividad",543,508.59,3.20,1
35,"activo",551,486.21,4.00,3
36,"acto",517,477.25,3.86,1
37,"actor",504,485.42,3.12,1
38,"actriz",506,499.46,3.76,1
39,"actuar",518,484.37,3.40,2
40,"acudir",564,490.94,4.52,1
41,"acumular",543,532.83,4.28,1
42,"acústica",557,526.92,5.37,1
43,"adaptar",505,503.66,4.84,1
44,"adelantar",562,524.92,3.88,1
45,"ademán",583,497.62,6.11,1
46,"adhesión",673,543.24,6.03,1
47,"adicción",577,525.75,5.49,1
48,"adjetivo",531,526.35,3.88,0
49,"admitir",531,495.13,4.40,1
50,"adquirir",595,498.17,4.72,1
51,"aduana",619,532.94,6.04,1
52,"adulto",520,464.43,3.12,1
53,"advertir",559,533.29,4.84,1
54,"aérea",581,552.00,4.60,1
55,"afán",596,482.62,5.80,1
56,"afecto",548,491.54,4.20,1
57,"afeitar",546,521.67,3.84,1
58,"afición",588,508.66,4.16,1
59,"afrontar",567,527.60,4.88,1
60,"agencia",528,525.09,5.08,1
61,"agenda",518,493.74,3.96,1
62,"agente",520,495.73,4.64,1
63,"agonía",564,516.68,5.40,1
64,"agosto",523,487.96,2.36,1
65,"agregar",531,536.33,5.40,2
66,"agresión",542,508.06,4.65,1
67,"agua",495,482.79,1.22,1
68,"aguantar",555,504.78,2.80,1
69,"aguijón",593,584.62,4.72,1
70,"águila",580,512.96,2.54,1
71,"aguja",523,511.06,2.12,1
72,"aire",508,469.62,2.32,1
73,"ajedrez",513,529.22,3.29,1
74,"ajo",555,485.86,2.85,1
75,"ala",541,478.30,2.18,1
76,"alarma",536,492.06,3.60,1
77,"alba",523,479.02,4.52,1
78,"alborozo",570,553.83,6.28,1
79,"álbum",516,486.15,3.60,1
80,"alcalde",540,506.96,4.28,1
81,"alcanzar",522,526.71,3.84,2
82,"alcoba",593,506.58,5.36,1
83,"aldea",580,491.24,3.24,1
84,"alegoría",580,541.00,6.73,1
85,"alejar",570,461.36,3.36,1
86,"alerta",546,469.35,4.52,1
87,"alfa",576,497.30,6.44,1
88,"alfabeto",543,514.22,2.44,1
89,"alfombra",559,519.78,2.40,1
90,"algarabía",693,602.09,5.92,1
91,"alimentar",526,515.90,2.44,1
92,"alimento",513,493.31,2.31,1
93,"alma",516,479.62,4.62,1
94,"almadraba",692,596.71,6.56,1
95,"almendra",575,515.79,3.08,1
96,"almidón",578,518.58,6.88,1
97,"almohada",589,562.52,2.30,1
98,"almuerzo",550,512.46,3.80,1
99,"alquilar",529,511.00,4.52,1
100,"altar",553,491.32,3.96,1
101,"aludir",606,467.58,5.64,1
102,"alumbrar",567,509.60,4.16,2
103,"aluminio",529,502.43,5.24,1
104,"alumno",524,479.06,2.96,1
105,"alzar",519,491.08,4.32,1
106,"amanecer",542,517.54,3.24,1
107,"amar",491,479.00,3.04,2
108,"ámbar",570,486.76,4.76,1
109,"ambición",565,507.11,5.27,1
110,"ambiente",544,506.27,4.36,1
111,"ámbito",546,478.37,5.48,1
112,"amenazar",553,535.63,3.96,2
113,"amigo",484,466.22,2.68,3
114,"amistad",491,506.44,2.88,1
115,"amo",554,475.65,3.56,1
116,"amor",482,450.22,3.48,1
117,"ampliar",498,501.02,4.80,1
118,"amplitud",558,514.17,5.06,1
119,"análisis",515,513.26,5.00,1
120,"analizar",552,508.69,4.72,2
121,"analogía",630,516.53,6.76,1
122,"anatomía",553,510.62,5.60,1
123,"ancla",608,481.13,3.12,1
124,"andar",516,494.59,1.68,2
125,"andén",592,487.44,5.72,1
126,"anécdota",612,523.80,5.06,1
127,"anfitrión",644,554.63,5.15,1
128,"ángel",510,488.98,2.29,1
129,"ángulo",501,494.43,4.24,1
130,"angustia",552,534.75,6.04,1
131,"anhelo",616,527.75,5.56,1
132,"anillo",498,478.42,2.47,1
133,"animal",474,494.98,1.58,1
134,"animar",512,463.89,3.36,2
135,"ánimo",519,490.43,4.48,1
136,"anís",607,516.85,5.16,1
137,"ánodo",516,546.29,6.69,1
138,"anotar",533,491.26,4.36,1
139,"ansia",559,504.02,5.20,1
