id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
1,"abandono","abandonment",1.09,0.29,7.85,1.42,4.52,1.73,3.70,1.77,3.95,1.76,5.65,1.27,1
2,"abanico","fan",5.64,0.99,3.57,2.02,5.64,1.56,6.86,0.36,4.67,1.93,5.15,2.06,1
3,"abeja","bee",2.90,1.62,7.14,1.61,6.86,0.35,6.77,0.53,5.78,1.88,5.48,2.02,1
4,"abejorro","bumblebee",3.40,1.31,6.95,1.91,6.59,0.80,6.35,1.27,4.96,2.16,4.32,2.03,1
5,"abismo","abyss",2.95,1.20,6.55,1.68,3.75,1.59,3.90,2.20,4.35,1.93,4.74,1.94,1
6,"abnegación","abnegation",3.90,1.80,4.91,1.77,2.18,1.01,1.45,1.34,1.96,1.74,1.77,0.87,1
7,"abogada","lawyer",5.05,1.15,4.95,1.82,5.57,1.16,5.80,1.58,5.18,2.06,5.61,1.75,1
8,"aborto","abortion",2.50,1.50,6.90,1.52,5.75,1.41,3.30,1.56,5.00,1.92,6.14,0.91,1
9,"abrigo","coat",4.40,1.70,3.75,1.65,4.33,1.43,6.96,0.21,6.00,1.60,6.71,0.64,1
10,"abstinente","abstinent",3.45,1.43,3.64,2.08,4.52,2.06,2.09,1.35,2.74,2.14,3.15,1.81,3
11,"absurdo","absurd",4.05,1.17,4.23,1.93,3.23,1.66,1.86,1.42,3.14,1.58,5.64,1.33,1
12,"abuela","grandmother",8.20,1.06,2.20,1.51,5.86,1.39,6.75,0.64,6.73,0.63,6.67,0.80,1
13,"abuso","abuse",1.71,0.85,7.20,1.24,3.60,1.54,3.14,1.65,5.59,1.26,5.40,1.47,1
14,"accidente","accident",1.52,0.68,7.50,1.30,4.20,1.36,5.73,1.28,6.35,1.31,5.90,1.68,1
15,"acción","action",6.43,1.44,6.95,1.81,2.05,1.36,3.81,1.78,4.45,2.24,6.45,1.39,1
16,"acelerador","accelerator",5.90,1.21,6.64,1.89,5.86,0.65,4.73,1.98,5.09,2.17,5.86,1.53,1
17,"acento","accent",5.23,1.27,4.77,1.90,3.30,1.56,4.33,2.03,5.50,1.73,5.80,1.58,1
18,"aceptación","acceptance",8.35,1.14,5.36,2.52,2.95,1.64,3.29,2.10,3.35,1.90,5.85,1.46,1
19,"acera","sidewalk",4.96,0.21,3.90,1.74,6.32,0.99,6.36,0.90,5.77,1.88,6.33,0.73,1
20,"acidez","acidity",4.09,1.54,6.14,1.70,4.91,1.76,2.70,1.74,3.91,2.45,4.96,1.94,1
21,"ácido","acid",4.00,2.14,6.80,1.91,5.10,1.64,3.59,1.87,4.95,2.42,5.73,1.35,1
22,"acierto","confidence",7.80,1.96,5.45,2.15,4.52,1.78,3.30,1.82,4.83,2.08,6.00,1.34,1
23,"acoso","harassment",1.43,0.66,7.95,1.32,3.09,1.48,3.13,1.36,4.18,2.28,5.00,2.05,1
24,"acre","acre",4.91,0.43,3.65,1.84,4.40,2.06,2.10,1.64,1.14,0.47,1.77,1.31,1
25,"activar","to enable",5.73,1.03,6.36,1.65,3.87,2.16,3.04,2.23,3.64,2.22,5.15,1.42,1
26,"acto","event",5.83,1.40,6.19,1.69,3.23,1.69,1.91,1.02,4.40,2.16,5.41,1.53,1
27,"acuerdo","agreement",6.57,1.20,4.00,2.22,3.15,1.81,3.32,1.78,4.32,1.67,5.75,1.55,1
28,"ademán","gesture",5.10,0.44,3.50,1.82,3.23,1.82,2.85,1.76,1.32,0.78,3.32,1.89,1
29,"adicción","addiction",2.61,1.92,6.85,2.08,3.82,1.89,3.86,1.49,4.86,1.81,5.48,1.47,1
30,"adiós","bye-bye",2.21,1.35,4.76,1.97,5.86,1.35,3.73,2.10,6.20,1.15,6.82,0.39,1
31,"admiración","admiration",7.50,1.01,5.80,2.46,2.80,1.64,2.43,1.25,5.17,1.90,5.05,2.06,1
32,"admirado","admired",6.95,1.10,6.68,1.89,3.74,1.60,4.17,1.99,4.86,2.19,5.24,1.51,1
33,"adolescente","teenager",5.91,1.90,5.64,1.92,6.00,1.14,5.62,1.07,6.32,0.99,6.73,0.88,1
34,"adopción","adoption",5.25,1.98,5.48,2.48,4.60,1.54,3.20,1.82,5.70,1.75,5.64,1.62,1
35,"adoración","worship",7.00,1.86,3.14,2.08,2.23,1.27,3.36,1.73,4.61,2.19,4.05,1.86,1
36,"adulterio","adultery",3.45,1.85,7.59,1.33,5.27,1.78,4.00,1.90,3.61,2.62,3.95,1.86,1
37,"adversario","adversary",4.00,1.35,6.41,1.71,3.85,1.69,3.38,1.50,4.68,2.12,5.10,2.07,1
38,"aeropuerto","airport",6.38,2.10,5.29,2.05,6.55,0.76,6.65,0.81,6.50,0.83,6.18,1.05,1
39,"afortunado","lucky",7.45,1.19,5.25,2.29,4.40,1.54,3.50,1.64,4.85,2.06,5.60,1.35,1
40,"agente","agent",4.57,1.40,5.05,1.59,3.80,1.36,5.55,1.50,5.15,2.21,5.43,1.85,1
41,"agobiado","overwhelmed",2.24,1.14,7.10,1.51,4.78,1.73,3.96,2.01,5.73,1.52,6.60,0.68,1
42,"agresividad","aggressiveness",1.77,1.15,7.15,1.46,4.78,1.78,4.61,2.06,5.04,1.71,5.90,1.51,1
43,"agresivo","aggressive",2.00,1.22,7.62,1.12,5.09,1.65,4.74,2.07,5.27,1.91,5.65,1.39,3
44,"agricultor","farmer",5.57,1.26,3.87,2.01,5.64,1.18,6.05,1.16,5.05,1.77,6.00,1.62,1
45,"aguanieve","sleet",5.71,1.38,3.33,1.96,6.30,1.03,5.19,1.75,3.73,1.96,4.70,2.20,1
46,"aguardiente","brandy",4.73,1.72,5.25,2.00,6.41,0.80,5.91,1.23,4.33,2.10,4.90,2.02,1
47,"agudo","sharp",4.70,1.38,5.14,1.98,3.50,1.77,1.82,1.56,2.85,1.76,5.19,1.66,1
48,"aguijón","sting",2.45,1.50,7.00,1.86,5.82,1.33,5.75,1.52,3.63,2.62,3.67,2.06,1
49,"águila","eagle",5.40,1.19,4.90,1.94,6.80,0.41,6.85,0.67,5.00,2.29,5.67,1.20,1
50,"aguja","needle",4.09,1.59,5.75,1.89,5.77,1.57,6.86,0.35,6.14,1.21,6.00,1.26,1
51,"ahogarse","to drown",1.75,1.16,7.90,1.18,5.17,1.97,5.70,1.69,5.41,1.84,4.90,1.22,2
52,"aislamiento","isolation",1.82,0.96,4.50,2.48,3.00,1.62,3.13,1.58,3.79,2.17,4.55,1.96,1
53,"ajedrez","chess",4.86,1.46,3.27,1.61,6.18,1.37,6.91,0.29,5.40,1.47,5.20,1.82,1
54,"albergue","hostel",5.96,2.12,5.24,2.36,6.05,0.72,5.32,1.39,6.00,1.38,5.00,1.62,1
55,"alcaldesa","mayor",4.38,1.65,5.00,1.86,6.38,0.74,3.60,1.98,4.18,1.94,5.64,1.62,1
56,"alfiler","pin",4.27,1.48,4.80,1.99,6.43,0.87,6.90,0.31,4.32,2.25,5.00,1.75,1
57,"alianza","alliance",6.83,1.44,4.65,2.64,4.36,1.97,6.05,1.73,4.55,2.20,4.75,2.07,1
58,"aliento","breath",4.65,1.42,3.52,2.04,4.81,1.60,2.50,1.85,5.45,1.67,5.67,1.77,1
59,"alivio","relief",7.59,1.01,1.60,1.14,2.95,1.29,2.85,1.53,5.27,1.88,5.55,1.34,1
60,"alma","soul",6.64,1.65,3.45,2.39,2.38,1.99,2.90,1.80,4.32,1.76,5.70,1.75,1
61,"altercado","altercation",2.50,1.50,7.09,1.34,2.90,1.61,3.45,1.82,3.30,2.22,4.39,1.97,1
62,"aluminio","aluminum",4.32,1.25,3.40,1.96,5.29,1.85,5.14,1.88,4.21,2.26,4.90,1.59,1
63,"alumno","student",5.42,1.27,4.65,1.46,5.38,1.60,5.95,1.15,6.55,0.86,6.76,0.62,1
64,"amabilidad","kindness",7.77,0.97,3.75,2.67,4.05,2.04,2.80,1.64,5.38,1.58,6.50,1.00,1
65,"amado","loved",8.23,0.87,5.59,2.63,3.80,1.58,4.00,1.75,5.30,1.75,5.23,1.95,3
66,"amante","lover",4.95,2.44,6.09,2.31,4.76,1.37,4.10,2.02,4.65,1.82,5.95,1.40,1
67,"amargura","bitterness",1.96,0.82,7.30,1.38,2.14,0.83,2.52,1.41,3.32,1.96,4.38,1.88,1
68,"ambición","ambition",4.50,2.15,5.76,1.73,2.91,1.90,2.00,1.41,3.50,2.01,5.45,1.39,1
69,"ambiente","atmosphere",5.95,1.09,2.65,1.76,2.71,1.42,2.77,1.82,4.91,2.14,5.62,1.28,1
70,"ambulancia","ambulance",2.65,1.04,6.82,1.14,6.80,0.52,6.85,0.37,6.35,1.27,6.32,0.95,1
71,"ametralladora","machine gun",2.60,1.79,7.30,1.38,6.55,1.30,6.30,1.08,4.39,2.39,4.57,1.96,1
72,"amiga","friend",8.40,0.94,3.05,2.24,4.10,1.81,5.68,1.13,6.64,1.05,6.71,0.90,1
73,"ampliación","extension",6.39,1.41,3.95,1.86,2.70,1.69,2.30,1.11,3.68,2.12,5.05,1.56,1
74,"amplitud","amplitude",6.42,1.25,3.86,2.06,3.25,2.12,2.23,1.19,3.55,2.01,5.55,1.61,1
75,"análisis","analysis",4.14,1.88,6.15,2.32,2.85,2.08,3.25,1.68,4.82,1.99,6.45,1.19,1
76,"analista","analyst",5.07,1.41,4.74,2.20,3.27,1.86,2.29,1.52,2.24,1.61,4.27,1.93,1
77,"analogía","analogy",5.00,0.31,3.75,1.77,2.41,1.68,1.90,1.14,1.64,1.33,3.75,1.94,1
78,"anfitrión","host",6.79,1.41,5.95,2.04,5.55,1.30,4.19,1.57,4.20,2.42,4.71,1.23,1
79,"angustia","distress",1.86,0.83,7.60,2.06,3.27,1.45,2.59,1.33,4.79,1.89,5.26,1.96,1
80,"anillo","ring",6.55,1.18,4.85,2.18,6.14,1.31,6.85,0.67,6.05,1.85,6.38,1.36,1
81,"ánimo","mood",7.14,1.20,5.59,2.06,2.73,1.45,1.91,1.44,4.18,2.08,6.00,1.78,1
82,"anorak","anorak",4.70,1.78,4.30,1.72,5.90,1.14,6.57,0.81,5.09,2.02,5.10,1.89,1
83,"antecedente","antecedent",4.10,1.09,5.55,1.32,3.61,1.80,2.26,1.54,3.05,1.65,4.50,1.74,1
84,"anticuario","antique",4.18,1.14,3.00,1.86,5.77,1.41,5.09,1.50,3.50,2.04,3.20,1.88,1
85,"antorcha","torch",5.30,1.17,3.95,2.17,6.70,0.57,6.70,0.57,5.17,2.33,4.48,1.57,1
86,"antropólogo","anthropologist",4.95,0.65,3.75,1.83,6.18,1.53,4.30,1.89,2.17,1.55,3.41,1.79,1
87,"añoranza","yearning",2.35,1.30,4.95,2.52,3.00,1.92,1.82,1.40,5.14,2.14,4.18,1.65,1
88,"aparato","apparatus",4.68,0.78,3.85,1.76,2.25,1.25,4.00,2.37,4.36,2.15,6.05,0.94,1
89,"apariencia","appearance",4.55,0.94,4.73,1.80,3.27,1.72,2.18,1.56,4.36,1.99,5.10,1.92,1
90,"apartamento","apartment",6.32,1.49,3.65,2.03,6.18,1.14,6.55,0.60,6.23,1.27,6.05,1.09,1
91,"aperitivo","aperitif",6.86,1.21,5.60,2.44,5.09,1.66,5.59,1.37,5.71,1.52,6.27,0.94,1
92,"aplauso","applause",7.57,1.27,5.91,2.58,5.40,1.60,6.50,1.06,6.27,0.88,6.30,1.56,1
93,"aprecio","appreciation",7.91,1.02,3.65,2.66,3.10,1.77,3.33,2.27,5.77,1.38,6.05,1.21,1
94,"aptitud","aptitude",7.40,1.14,5.18,1.76,2.75,1.71,1.68,1.25,3.83,2.15,5.09,1.66,1
95,"apuros","trouble",2.70,1.17,6.23,2.39,3.91,1.47,2.57,1.75,3.82,1.94,4.90,1.81,1
96,"araña","spider",3.40,1.27,7.27,1.03,6.55,0.76,6.85,0.37,6.10,1.37,5.50,1.64,1
97,"árbitro","referee",5.00,0.73,5.80,2.14,5.14,1.20,6.65,0.49,6.26,1.10,5.86,1.52,1
98,"argumento","argument",5.59,0.85,4.25,2.00,3.05,1.66,2.33,1.24,4.91,1.95,5.78,1.68,1
99,"armario","cabinet",4.95,0.51,4.00,1.93,6.50,1.10,6.90,0.30,6.18,1.50,7.00,0.00,1
100,"armonía","harmony",7.87,0.97,3.20,2.59,2.45,1.63,2.09,1.23,4.09,2.22,4.83,2.04,1
101,"arrebatar","to snatch",2.64,1.43,7.65,1.27,3.67,2.06,2.27,1.39,3.45,2.13,3.76,1.92,1
102,"arroyo","stream",4.74,1.66,4.05,2.50,5.86,1.28,5.73,1.55,3.77,2.20,4.32,2.06,1
103,"arroz","rice",5.14,0.35,3.77,1.48,6.41,0.91,6.85,0.67,6.09,1.54,6.91,0.29,1
104,"artefacto","artifact",3.86,1.39,6.20,2.26,2.86,1.86,2.73,1.75,2.68,1.86,3.81,2.02,1
105,"artesana","artisan",6.07,1.41,3.65,2.04,4.50,1.68,3.76,2.07,3.76,2.00,4.82,1.92,1
106,"artículo","article",4.90,0.94,3.86,1.93,2.73,1.64,4.85,2.03,5.18,1.97,6.30,0.66,1
107,"asalariada","wage",5.89,1.71,4.91,1.95,3.95,2.13,2.48,1.94,2.38,1.96,4.20,2.12,1
108,"ascender","to ascend",6.77,1.66,5.80,2.48,5.00,1.10,3.45,1.97,4.33,1.97,5.48,1.68,1
109,"asesina","killer",1.45,0.94,7.82,1.62,6.39,0.78,5.61,1.44,2.71,1.85,5.41,1.56,1
110,"asesinar","to murder",1.19,0.40,7.95,1.43,5.96,1.66,5.30,2.05,4.91,2.39,5.57,1.97,1
111,"asesinato","murder",1.35,0.88,8.14,1.25,5.52,1.50,5.87,1.18,4.96,2.51,5.76,1.58,1
112,"asesino","murderer",1.62,1.16,7.43,1.66,4.75,1.71,5.05,1.40,5.18,1.76,5.91,1.70,3
113,"asesor","advisor",5.71,1.33,4.22,1.62,4.09,1.80,2.81,1.78,2.81,1.72,4.85,1.31,1
114,"asesora","advises",5.38,1.24,4.85,1.81,4.67,1.74,2.45,1.79,3.50,2.13,4.91,1.88,1
115,"asfalto","asphalt",4.60,0.82,3.14,2.14,6.40,0.99,6.27,1.20,4.87,2.47,5.75,1.41,1
116,"asilo","asylum",3.39,1.42,4.43,2.15,5.55,1.57,5.57,1.36,4.71,1.90,4.50,1.37,1
117,"asistenta","housekeeper",4.73,1.40,3.75,1.86,4.71,1.74,4.30,2.15,4.23,1.88,4.90,1.97,1
118,"asqueroso","gross",3.00,1.34,6.35,1.69,4.50,1.67,4.60,1.64,4.85,1.84,5.90,1.67,3
119,"asunto","issue",5.13,0.76,4.05,1.79,1.67,1.11,1.59,0.96,3.36,2.17,6.09,1.31,1
120,"asustado","scared",2.70,1.13,6.10,2.32,5.43,1.47,5.04,1.80,5.39,1.47,5.83,1.67,1
121,"ataque","attack",3.04,1.92,7.19,1.89,3.41,1.71,4.05,1.79,4.50,2.01,5.82,1.44,1
122,"ataúd","coffin",1.91,1.34,6.71,1.98,6.65,0.59,6.60,0.94,5.60,1.64,4.50,2.21,1
123,"atentado","attack",1.68,0.95,8.20,1.24,4.86,1.68,4.59,1.62,5.71,1.92,5.50,1.26,1
124,"aterrorizado","terrified",2.32,1.25,7.19,1.89,5.26,1.66,4.91,1.88,5.41,1.89,4.87,1.96,1
125,"átomo","atom",4.95,1.09,4.09,1.77,4.95,2.26,2.68,1.94,2.55,2.11,5.18,1.40,1
126,"atracción","attraction",7.18,1.18,7.60,1.85,2.77,1.51,3.73,2.10,5.79,1.38,6.40,0.88,1
127,"atraco","robbery",1.45,0.89,7.50,1.63,5.65,1.56,5.13,1.87,5.30,1.99,5.35,1.53,1
128,"atraer","to attract",7.05,1.33,6.75,2.43,3.19,1.86,3.90,2.12,4.64,2.17,5.82,1.76,1
129,"atrevido","bold",6.27,0.94,6.09,1.48,5.17,1.37,3.57,1.97,5.77,1.54,5.82,1.56,1
130,"atrocidad","atrocity",2.15,0.99,6.33,2.33,3.83,1.64,2.35,1.34,2.95,2.44,3.59,1.82,1
131,"aumento","increase",6.26,1.54,5.18,2.20,3.55,1.47,3.10,1.74,4.77,2.20,5.20,1.70,1
132,"ausencia","absence",2.33,1.20,4.59,2.15,2.95,1.79,2.45,1.47,4.80,1.88,5.32,1.46,1
133,"autobús","bus",4.71,1.10,4.91,1.57,6.77,0.43,6.80,0.70,6.27,1.35,6.40,0.88,1
134,"autoridad","authority",5.00,1.75,6.86,1.32,4.32,1.64,4.29,1.82,5.17,1.67,5.35,1.99,1
135,"auxilio","help",3.05,1.99,7.90,1.92,3.65,2.11,3.36,1.87,4.91,2.07,4.67,1.28,1
136,"avance","advance",7.15,1.09,4.82,1.94,2.73,1.24,2.50,1.50,3.78,2.39,5.52,1.25,1
137,"avión","plane",5.14,1.58,6.50,1.54,6.70,0.57,6.85,0.49,6.40,1.05,6.50,0.86,1
138,"avispa","wasp",3.05,1.23,6.60,1.50,6.57,1.20,7.00,0.00,5.82,1.68,5.59,1.82,1
139,"ayuda","help",6.58,2.02,5.86,2.50,3.20,2.07,3.10,1.45,4.90,2.00,6.60,0.88,1
140,"ayudar","to help",7.68,1.29,4.90,2.45,2.95,1.93,3.20,1.54,5.71,1.60,6.55,0.76,1
141,"ayuntamiento","city hall",4.83,1.53,3.18,1.84,6.05,1.00,6.05,1.36,6.18,1.30,5.57,2.06,1
142,"azafata","stewardess",5.75,1.25,5.40,1.31,4.71,1.49,6.74,0.54,5.77,1.51,5.27,1.64,1
143,"azar","random",5.15,1.09,4.55,2.18,2.50,1.87,2.19,1.17,4.45,2.20,5.90,1.37,1
144,"azulejo","tile",5.10,0.55,3.76,1.87,5.52,2.02,5.91,1.73,2.91,2.18,4.95,2.11,1
145,"bacteria","bacterium",3.00,1.41,5.19,1.78,5.05,1.62,4.09,1.80,3.90,2.10,4.95,1.80,1
146,"bailarín","dancer",6.55,1.36,5.45,2.04,6.45,0.80,6.29,0.78,5.23,2.14,5.62,1.88,1
147,"bailarina","dancer",6.61,0.96,4.26,2.34,5.36,1.36,6.48,0.68,5.95,1.36,6.00,1.61,1
148,"balanza","balance",5.25,1.16,3.86,1.75,6.05,1.50,6.82,0.50,5.95,1.73,5.10,1.71,1
149,"balcón","balcony",5.57,1.08,3.50,2.35,6.25,1.07,6.81,0.40,6.05,1.56,6.55,0.89,1
150,"balneario","spa",7.33,1.52,3.67,3.55,6.27,0.77,6.55,0.80,6.55,0.94,5.41,1.59,1
151,"baloncesto","basketball",6.09,1.44,4.85,2.91,6.20,1.28,6.65,0.67,5.73,1.86,5.25,2.22,1
152,"banco","bank",4.64,1.26,5.00,1.78,5.05,1.63,6.73,0.55,6.25,0.91,6.67,0.48,1
153,"banda","band",5.45,1.82,4.65,1.60,3.90,1.81,5.25,1.62,4.70,2.27,5.59,1.40,1
154,"bandeja","tray",4.81,0.75,3.85,1.60,5.67,1.20,6.75,0.44,5.00,1.90,6.65,0.65,1
155,"banquete","banquet",7.29,1.46,4.90,1.79,5.10,1.67,6.10,1.07,5.95,1.54,5.40,1.67,1
156,"bañador","swimsuit",6.18,1.31,3.52,2.00,5.55,1.71,7.00,0.00,5.90,1.61,6.24,0.94,1
157,"baño","bathroom",6.25,1.29,3.64,1.87,5.59,1.50,6.68,0.57,6.65,0.67,6.86,0.36,1
158,"baranda","railing",5.00,0.56,3.55,1.77,5.00,2.17,5.09,2.29,3.83,2.48,3.65,2.25,1
159,"barbaridad","barbarity",3.48,1.90,6.73,1.78,2.45,1.47,2.09,1.44,4.05,2.24,4.71,2.03,1
160,"barco","boat",5.86,1.61,3.77,1.95,6.18,1.18,6.86,0.35,6.25,0.91,6.14,1.39,1
161,"barra","bar",4.91,0.68,4.45,1.71,4.36,1.94,6.19,0.98,5.60,2.16,5.90,1.62,1
162,"barranco","ravine",3.82,1.47,6.05,2.72,6.32,1.17,6.75,0.44,5.27,2.21,5.38,1.75,1
163,"bastón","cane",4.60,0.99,4.14,1.64,6.67,0.58,6.87,0.46,5.50,1.90,5.55,1.65,1
164,"bata","coat",5.35,0.88,3.75,1.89,6.10,1.17,6.38,1.47,6.32,1.32,5.68,1.64,1
165,"bautizo","christening",5.75,2.80,4.48,2.38,5.91,1.27,5.23,1.72,6.45,1.00,5.05,1.47,1
166,"bendición","blessing",6.35,1.57,3.68,2.21,3.00,1.77,2.00,1.57,4.00,2.45,4.52,1.12,1
167,"beneficio","benefit",7.26,1.57,5.50,2.44,2.65,1.39,2.91,2.02,3.91,1.90,5.10,2.07,1
168,"beso","kiss",8.14,1.11,5.86,2.94,5.75,1.41,6.71,0.56,6.55,0.60,6.67,0.66,1
169,"bestia","beast",3.45,1.64,6.25,2.00,4.18,1.62,5.52,1.72,4.75,2.02,5.33,1.62,1
170,"bienestar","welfare",8.30,0.93,3.75,2.94,2.50,1.76,3.05,1.50,4.55,2.09,5.85,1.57,1
171,"bikini","bikini",6.81,1.77,5.00,2.08,4.76,1.76,6.90,0.31,6.50,0.60,6.73,0.55,1
172,"billetera","wallet",5.35,0.94,4.75,2.02,6.19,0.98,6.60,0.68,4.91,2.09,5.24,1.89,1
173,"blusa","blouse",5.35,0.98,4.35,1.98,6.50,0.74,6.67,1.11,6.05,1.43,5.50,1.90,1
174,"bodega","winery",5.70,1.18,4.05,2.19,5.71,1.71,6.14,1.25,5.36,1.79,4.76,1.81,1
175,"bofetada","slap",2.86,1.17,6.95,1.40,6.50,0.61,6.10,1.02,6.00,1.38,6.09,1.31,1
