id;palabra;gender;number;categoria_palabra;pos_tag;translation_en;source;freq_absoluta;freq_normalizada
1;abandono;Masc;Sing;1;NOUN;abandonment;redondo_2005;3,765;24.67
2;abismo;Masc;Sing;1;NOUN;abyss;redondo_2005;1,652;10.82
3;abuelo;Masc;Sing;1;NOUN;grandfather;redondo_2005;4,841;31.73
4;abuso;Masc;Sing;1;NOUN;abuse;redondo_2005;2,741;17.96
5;acontecimiento;Masc;Sing;1;NOUN;event;redondo_2005;3,138;20.56
6;actor;Masc;Sing;1;NOUN;actor;redondo_2005;8,477;55.56
7;actualidad;Fem;Sing;1;NOUN;present;redondo_2005;11,229;73.60
8;ademán;Masc;Sing;1;NOUN;gesture;redondo_2005;1,115;7.30
9;advertencia;Fem;Sing;1;NOUN;warning;redondo_2005;2,117;13.87
10;afición;Fem;Sing;1;NOUN;hobby;redondo_2005;3,147;20.62
11;agencia;Fem;Sing;1;NOUN;agency;redondo_2005;7,565;49.58
12;aglomeración;Fem;Sing;1;NOUN;agglomeration;redondo_2005;292;1.91
13;agrupación;Fem;Sing;1;NOUN;group;redondo_2005;2,595;17.00
14;aire;Masc;Sing;1;NOUN;air;redondo_2005;26,06;170.81
15;analogía;Fem;Sing;1;NOUN;analogy;redondo_2005;853;5.59
16;antecedente;Masc;Sing;1;NOUN;antecedent;redondo_2005;1,129;7.40
17;aparato;Masc;Sing;1;NOUN;apparatus;redondo_2005;7,671;50.28
18;aparición;Fem;Sing;1;NOUN;appearance;redondo_2005;9,812;64.31
19;apariencia;Fem;Sing;1;NOUN;appearance;redondo_2005;4,239;27.78
20;apetencia;Fem;Sing;1;NOUN;appetite;redondo_2005;151;0.98
21;arena;Fem;Sing;1;NOUN;sand;redondo_2005;5,876;38.51
22;aristocracia;Fem;Sing;1;NOUN;aristocracy;redondo_2005;886;5.80
23;aroma;Masc;Sing;1;NOUN;smell;redondo_2005;1,927;12.63
24;arreglo;Masc;Sing;1;NOUN;arrangement;redondo_2005;2,755;18.05
25;arroz;Masc;Sing;1;NOUN;rice;redondo_2005;5,098;33.41
26;artículo;Masc;Sing;1;NOUN;Article;redondo_2005;18,504;121.29
27;asistencia;Fem;Sing;1;NOUN;assistance;redondo_2005;6,87;45.03
28;ataque;Masc;Sing;1;NOUN;attack;redondo_2005;9,24;60.56
29;átomo;Masc;Sing;1;NOUN;atom;redondo_2005;937;6.14
