id,palabra,valencia_m,valencia_sd,activacion_m,activacion_sd,categoria_palabra
1,"abandono",2.03,1.11,6.68,1.90,1
2,"abismo",3.10,1.48,6.69,1.68,1
3,"abuelo",7.44,1.51,4.01,2.34,1
4,"abuso",1.72,1.31,7.41,1.90,1
5,"acontecimiento",6.01,1.26,5.02,2.17,1
6,"actor",6.11,1.18,3.91,1.89,1
7,"actualidad",5.69,1.49,4.42,1.93,1
8,"ademán",5.03,0.84,3.89,1.92,1
9,"advertencia",3.94,1.19,5.56,1.95,1
10,"afición",6.69,1.40,4.93,1.93,1
11,"agencia",5.00,0.89,3.24,1.98,1
12,"aglomeración",3.42,1.22,6.17,2.06,1
13,"agrupación",5.89,1.29,4.16,2.07,1
14,"aire",6.83,1.34,3.03,1.85,1
15,"analogía",5.02,0.70,3.22,1.71,1
16,"antecedente",4.39,0.93,4.26,1.95,1
17,"aparato",5.11,0.68,3.23,1.72,1
18,"aparición",4.60,1.54,5.71,1.98,1
19,"apariencia",4.46,1.43,4.30,1.88,1
20,"apetencia",5.79,1.62,5.00,1.85,1
21,"arena",6.39,1.47,3.57,2.03,1
22,"aristocracia",3.88,1.44,3.97,2.08,1
23,"aroma",7.17,1.01,3.76,2.17,1
24,"arreglo",5.93,1.50,3.92,1.94,1
25,"arroz",5.43,1.07,3.37,2.00,1
26,"artículo",5.26,0.91,3.36,1.70,1
27,"asistencia",5.68,1.31,4.13,1.89,1
28,"ataque",3.17,1.87,6.03,2.35,1
29,"átomo",5.01,0.81,3.42,1.89,1
30,"atributo",5.62,1.22,3.80,1.73,1
31,"ausencia",2.50,1.15,6.03,1.93,1
32,"automóvil",6.10,1.32,4.87,2.00,1
33,"aventura",7.42,1.13,6.56,1.90,1
34,"avión",6.17,1.40,5.76,2.29,1
35,"aviso",4.82,1.15,4.68,2.30,1
36,"azar",5.46,1.09,4.44,2.05,1
37,"azulejo",5.00,0.78,2.96,1.91,1
38,"balanza",5.07,0.90,3.30,1.81,1
39,"banco",5.18,1.28,3.73,2.05,1
40,"banda",5.20,1.40,4.38,2.10,1
41,"biblioteca",5.26,1.54,3.63,2.04,1
42,"boceto",5.54,1.18,3.57,1.73,1
43,"bola",5.26,1.02,3.64,1.72,1
44,"bomba",1.72,1.43,7.88,1.54,1
45,"borde",3.91,1.29,4.68,2.20,1
46,"brazo",5.21,0.97,3.14,1.81,1
47,"broma",6.69,1.54,5.27,1.98,1
48,"café",5.98,2.01,4.82,2.44,1
49,"calavera",3.06,1.42,5.58,2.04,1
50,"calma",7.36,1.41,2.09,1.47,1
51,"calor",6.51,1.60,4.44,2.09,1
52,"camarada",6.40,1.59,3.91,1.99,1
53,"camisa",5.30,1.05,3.19,1.97,1
54,"campeón",6.97,1.32,5.54,2.15,1
55,"campo",6.88,1.38,3.22,1.80,1
56,"canal",5.17,0.74,3.11,1.81,1
57,"cantidad",5.44,0.90,3.37,1.83,1
58,"capa",5.10,1.41,3.14,1.95,1
59,"capilla",5.12,1.55,3.07,1.84,1
60,"capricho",5.06,1.75,4.54,1.91,1
61,"carcajada",7.87,1.16,5.84,2.37,1
62,"carmín",5.47,1.18,3.76,2.12,1
63,"casino",5.24,1.24,4.08,2.24,1
64,"casualidad",5.89,1.29,4.60,2.08,1
65,"catástrofe",1.69,1.01,7.63,1.49,1
66,"cauce",5.44,1.13,3.34,1.52,1
67,"celda",2.14,1.30,6.87,1.96,1
68,"celo",4.39,1.58,4.67,2.16,1
69,"ceniza",3.87,1.42,4.21,2.10,1
70,"centuria",4.72,1.12,3.22,2.07,1
71,"cera",4.72,1.19,4.11,2.05,1
72,"cercanía",6.38,1.28,3.69,1.94,1
73,"charca",5.03,1.15,3.34,1.75,1
74,"chófer",4.91,0.89,2.82,1.75,1
75,"cima",6.16,1.60,4.79,2.16,1
76,"cintura",5.42,1.13,3.86,2.11,1
77,"clase",5.04,1.17,4.10,2.08,1
78,"clínica",4.20,1.81,5.47,2.14,1
79,"club",5.78,1.42,4.27,1.87,1
80,"coacción",2.63,1.18,6.20,2.06,1
81,"código",4.82,0.86,3.11,1.88,1
82,"colina",6.04,1.31,3.24,1.66,1
83,"colonia",6.68,1.36,4.39,2.06,1
84,"comarca",5.30,1.18,3.37,1.89,1
85,"combinación",5.28,0.97,3.80,1.77,1
86,"comienzo",5.89,1.34,5.03,2.00,1
87,"compañía",7.48,1.19,4.48,2.17,1
88,"composición",5.76,1.14,3.43,1.87,1
89,"concepción",5.61,1.30,4.37,1.94,1
90,"conciencia",6.38,1.31,3.92,1.88,1
91,"concurso",6.34,1.23,5.26,2.11,1
92,"conducto",4.91,0.76,3.04,1.78,1
93,"congreso",4.96,1.39,3.86,2.06,1
94,"conquista",5.61,1.90,5.16,1.98,1
95,"consecuencia",4.46,1.26,5.21,2.11,1
96,"conservación",5.91,1.24,3.58,1.64,1
97,"conservador",3.86,1.55,4.30,2.11,1
98,"consideración",6.37,1.28,3.86,1.80,1
99,"consigna",5.08,1.01,4.23,1.87,1
100,"consulta",4.72,1.32,5.01,1.96,1
101,"contestación",4.97,1.39,5.08,1.93,1
102,"continuidad",5.60,1.23,3.82,1.73,1
103,"contrario",3.99,1.09,5.01,2.03,1
104,"cordura",6.23,1.34,3.98,1.91,1
105,"corrección",4.98,1.25,4.64,1.98,1
106,"corte",3.32,1.21,5.38,2.06,1
107,"cruz",4.41,1.53,4.24,1.93,1
108,"cualidad",6.28,1.33,3.91,1.88,1
109,"cuervo",4.23,1.51,4.66,2.30,1
110,"cueva",5.22,1.81,5.24,2.08,1
111,"cura",4.67,1.78,3.64,2.15,1
112,"curso",4.99,1.47,5.08,2.28,1
113,"danza",6.92,1.36,5.20,2.31,1
114,"década",5.09,1.13,3.67,1.93,1
115,"declaración",5.29,1.46,5.12,2.27,1
116,"decoro",5.13,1.26,3.18,1.80,1
117,"decreto",4.63,0.91,3.61,1.94,1
118,"deleite",7.14,1.17,3.91,2.15,1
119,"democracia",6.88,1.59,4.52,1.99,1
120,"demora",3.36,1.16,5.64,1.93,1
121,"depresión",1.59,0.89,6.80,2.21,1
122,"derecha",4.26,1.40,3.46,2.37,1
123,"desarrollo",5.70,1.40,3.86,1.83,1
124,"despacho",5.01,1.32,4.14,2.07,1
125,"desprecio",2.10,1.37,6.83,1.95,1
126,"desviación",4.50,1.05,4.03,1.97,1
127,"detención",3.43,1.57,5.78,1.88,1
128,"diccionario",5.31,0.92,3.38,1.76,1
129,"dictadura",1.82,1.45,7.22,1.68,1
130,"dictamen",3.87,1.23,4.51,2.19,1
131,"dificultad",3.18,1.29,6.16,1.68,1
132,"diputación",4.68,0.91,3.10,1.99,1
133,"disertación",4.37,1.21,3.77,1.98,1
134,"disputa",2.51,1.09,6.78,1.68,1
135,"distancia",3.30,1.43,5.32,2.27,1
136,"distrito",4.92,0.72,2.84,1.79,1
137,"divorcio",2.76,1.72,5.91,2.42,1
138,"dogma",4.58,1.24,4.00,2.04,1
139,"dominio",3.68,1.69,5.29,2.21,1
140,"edición",5.00,1.01,3.14,1.72,1
141,"ejemplo",5.44,1.02,3.40,1.64,1
142,"ejército",3.39,1.71,5.76,2.19,1
143,"electricidad",5.36,1.64,4.88,1.98,1
144,"embajada",4.90,1.28,3.54,1.94,1
145,"empleo",6.41,1.43,5.29,1.98,1
146,"encanto",7.30,1.02,4.08,2.10,1
147,"encargo",5.00,1.04,4.27,2.12,1
148,"energía",7.01,1.15,5.72,2.26,1
149,"enlace",6.16,1.54,4.83,2.19,1
150,"enmienda",4.98,1.17,3.67,1.96,1
151,"enojo",2.69,1.14,6.49,1.84,1
152,"ensayo",5.37,1.25,4.26,1.92,1
153,"entendimiento",6.77,1.29,3.84,1.79,1
154,"entrega",6.23,1.23,4.61,2.03,1
155,"escalera",4.83,0.99,3.48,1.96,1
156,"escaparate",5.91,1.02,3.72,1.78,1
157,"escena",5.22,1.28,4.01,2.00,1
158,"escondite",6.31,1.41,4.68,2.07,1
159,"escopeta",2.89,1.18,6.11,1.89,1
160,"espectro",3.51,1.52,5.82,2.45,1
161,"espuma",6.42,1.45,3.34,2.02,1
162,"estabilidad",7.03,1.28,3.30,2.00,1
163,"esterilidad",2.63,1.32,5.63,2.22,1
164,"estudio",4.87,1.62,5.26,2.07,1
165,"evocación",5.61,1.11,4.08,1.72,1
166,"exigencia",3.60,1.53,6.04,1.97,1
167,"existencia",6.53,1.35,4.57,2.05,1
168,"expedición",6.22,1.33,5.39,1.98,1
169,"explosión",2.16,1.33,7.26,2.04,1
170,"expresión",5.94,1.10,4.21,2.01,1
171,"extrañeza",4.01,1.29,4.98,1.84,1
172,"fábrica",4.98,1.19,3.12,1.90,1
173,"fábula",6.24,1.34,3.62,1.91,1
174,"familia",7.64,1.41,4.21,2.30,1
175,"fantasma",3.52,1.65,6.29,1.89,1
176,"farsa",2.64,1.11,6.04,1.79,1
177,"favor",6.39,1.17,4.44,1.80,1
178,"faz",5.26,0.98,3.58,1.84,1
179,"ferrocarril",5.12,1.17,3.87,1.92,1
180,"fervor",5.49,1.27,5.26,2.07,1
181,"fiel",7.46,1.38,3.80,2.26,1
182,"flora",6.38,1.30,3.10,1.71,1
183,"flota",5.11,0.94,3.62,1.96,1
184,"forma",5.20,0.75,3.63,1.88,1
185,"formación",6.27,1.44,4.24,1.98,1
186,"fortaleza",6.41,1.49,4.68,1.94,1
187,"frase",4.98,0.96,3.23,1.82,1
188,"fraternidad",6.83,1.38,3.90,1.88,1
189,"frente",4.76,0.94,3.33,2.03,1
190,"fronda",4.91,1.03,3.62,1.76,1
191,"fruto",6.01,1.14,3.32,1.66,1
192,"función",5.12,1.20,3.67,1.83,1
193,"furia",2.70,1.27,7.28,1.77,1
194,"garantía",6.32,1.23,3.70,1.80,1
195,"garganta",4.98,0.91,3.19,1.93,1
196,"gasto",3.52,1.19,5.30,1.82,1
197,"gestión",4.66,1.18,4.13,1.97,1
198,"giro",5.19,1.00,3.81,2.06,3
199,"glándula",4.74,0.87,3.38,1.95,1
200,"gobernador",4.22,1.12,4.29,2.15,1
201,"gracia",6.81,1.41,4.32,1.87,1
202,"grupo",6.60,1.18,4.60,2.02,1
203,"guante",5.19,1.05,3.29,1.65,1
204,"hacienda",3.53,1.30,4.79,2.26,1
205,"hegemonía",4.52,1.27,4.01,1.97,1
206,"herencia",5.87,1.62,4.80,1.90,1
207,"hidalguía",4.27,1.37,3.74,2.07,1
208,"hielo",5.39,1.55,3.89,1.85,1
209,"hierba",6.17,1.57,3.20,1.61,1
210,"hijo",7.00,1.66,4.90,2.26,1
211,"honda",5.26,1.36,4.44,2.05,1
212,"horror",2.17,1.30,7.36,1.67,1
213,"hueco",4.57,0.94,3.50,2.17,3
214,"humildad",6.98,1.21,3.54,1.76,1
215,"idea",6.62,1.18,4.71,1.97,1
216,"ideal",6.70,1.33,4.21,2.04,1
217,"identidad",6.13,1.28,3.93,2.02,1
218,"ilusión",7.79,1.05,5.49,2.32,1
219,"impaciencia",3.57,1.14,6.37,1.78,1
220,"importación",5.06,0.95,3.23,1.86,1
221,"imposibilidad",2.58,1.14,6.20,1.97,1
222,"impuesto",3.21,1.29,4.90,2.06,1
223,"ingenio",6.86,1.15,4.39,1.88,1
224,"ingenuidad",5.20,1.69,3.94,1.69,1
225,"injuria",2.62,1.38,6.29,1.76,1
226,"inscripción",5.33,0.99,3.88,1.90,1
227,"institución",4.66,1.16,3.81,2.07,1
228,"invención",5.81,1.37,4.64,1.74,1
229,"jefe",3.99,1.19,4.89,1.99,1
230,"jerarquía",3.82,1.32,4.24,2.23,1
231,"jornal",5.73,1.48,4.17,1.91,1
232,"juez",4.61,1.41,4.79,2.06,1
233,"juramento",5.47,1.53,5.17,2.03,1
234,"labrador",5.50,1.25,3.38,1.88,1
235,"ladrillo",4.91,0.76,3.03,1.89,1
236,"lago",6.99,1.35,2.80,1.57,1
237,"lana",5.74,1.17,2.83,1.54,1
238,"lealtad",7.58,1.32,4.26,2.19,1
239,"lecho",5.50,1.84,4.28,2.25,1
240,"lejanía",3.41,1.60,5.52,2.00,1
241,"lenguaje",5.67,1.50,4.00,1.82,1
242,"lesión",2.66,1.20,6.02,1.79,1
243,"libertad",8.07,1.08,4.87,2.48,1
244,"linaje",4.78,1.36,3.52,1.92,1
245,"litro",5.04,1.02,3.08,1.73,1
246,"llama",4.91,1.90,5.92,1.94,1
247,"llano",5.06,1.15,2.98,1.83,3
248,"llegada",6.61,1.46,5.03,2.03,1
249,"longitud",4.82,0.87,3.29,1.85,1
250,"lumbrera",5.88,1.32,4.22,1.84,1
251,"luminosidad",6.81,1.31,3.82,1.98,1
252,"luz",6.82,1.43,3.78,1.98,1
253,"madurez",6.03,1.43,4.28,2.06,1
254,"maestro",5.39,1.13,4.36,1.97,3
255,"maíz",5.27,1.24,3.18,1.72,1
256,"manantial",7.00,1.43,2.86,1.70,1
257,"manejo",4.91,1.21,3.51,2.15,1
258,"manifestación",5.82,1.56,6.24,1.89,1
259,"manto",5.36,1.20,3.23,1.83,1
260,"marqués",4.46,1.43,3.31,2.09,1
261,"martillo",4.70,0.88,3.63,1.88,1
262,"martirio",2.16,1.25,6.63,1.93,1
263,"matemática",4.48,1.75,4.36,2.25,1
264,"materia",4.90,0.92,3.38,1.81,1
265,"media",5.00,1.11,3.37,1.88,1
266,"metro",5.19,0.96,3.77,2.14,1
267,"miel",5.92,1.78,3.32,1.97,1
268,"milicia",3.94,1.41,4.57,2.17,1
269,"milla",4.91,0.93,3.32,1.95,1
270,"ministerio",4.42,1.12,3.63,2.13,1
271,"misa",4.13,1.70,3.24,2.04,1
